url,url_type,label,reason,detail
http://www.valley-edinburgk12.com/,school,VALLEY-EDINBURG ELEMENTARY SCHOOL-HOOPLE,no_staff_content_found,1 candidate page(s) checked
http://hagan.willistonschools.org/o/hes,school,HAGAN ELEMENTARY SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://mcvay.willistonschools.org/o/mes,school,MCVAY ELEMENTARY SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.willistonschools.org/o/garden-valley,school,GARDEN VALLEY ELEMENTARY SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.willistonschools.org/o/missouri-ridge,school,MISSOURI RIDGE ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.gospoilers.org/schools/grafton-high-school,school,GRAFTON HIGH SCHOOL,http_404,
http://www.gospoilers.org/schools/central-middle-school,school,GRAFTON JUNIOR HIGH SCHOOL,http_404,
http://www.anamoose-drake.k12.nd.us,school,ANAMOOSE ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.applecreekschool.org/staff,school,APPLE CREEK ELEMENTARY SCHOOL,http_404,
http://www.applecreekschool.org,school,APPLE CREEK ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.belcourt.k12.nd.us/apps/staff,school,TINY TURTLES PRESCHOOL,extract_exception,"1 validation error for ExtractionResult
  Invalid JSON: EOF while parsing a string at line 1 column 7986 [type=json_invalid, input_value='{""contacts"":[{""first_nam...rst_name"":""David"",""last', input_typ"
http://www.belcourt.k12.nd.us,school,TINY TURTLES PRESCHOOL,no_staff_content_found,2 candidate page(s) checked
http://bowbells.k12.nd.us,school,BOWBELLS HIGH SCHOOL,fetch_error:ConnectError,
http://www.bowman.k12.nd.us/,school,BOWMAN CO PRESCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.burkecentral.k12.nd.us,school,BURKE CENTRAL HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.centralvalley.k12.nd.us,school,CENTRAL VALLEY HIGH SCHOOL,fetch_error:ConnectError,
