name,nces_lea_id,enrollment_total,school_count,cumulative_pct
ROOSEVELT 18,3816090,62,1,99.5
FT YATES 4,3807200,56,2,99.6
TWIN BUTTES 37,3818600,55,1,99.6
STARKWEATHER 44,3817670,54,2,99.7
OBERON 16,3814520,52,1,99.7
FORDVILLE-LANKIN 5,3800056,50,2,99.7
MENOKEN 33,3812720,50,1,99.8
LONE TREE 6,3811610,36,1,99.8
SWEET BRIAR 17,3817940,28,1,99.8
KENSAL 19,3810260,28,2,99.9
ZEELAND 4,3820400,27,2,99.9
LITTLE HEART 4,3811540,25,1,99.9
STERLING 35,3817760,21,1,99.9
MARMOT SCHOOLS,3800005,20,1,99.9
NAUGHTON 25,3800015,16,1,100.0
ND SCHOOL FOR THE DEAF,3800006,16,1,100.0
MANNING 45,3811970,12,1,100.0
FT RANSOM 6,3800033,12,1,100.0
HORSE CREEK 32,3809810,11,1,100.0
MARMARTH 12,3812120,3,1,100.0
